kernel,shape_str,config_str,median_latency_s,p95_latency_s,total_energy_j,energy_per_call_j,mean_watts
vector_add,10485760,"BLOCK_SIZE: 1024, num_warps: 16, num_ctas: 1, num_stages: 3, maxnreg: None",0.0005419194999376487,0.0005813966997720854,5.130160036887599,0.03420106691258399,65.142
vector_add,10485760,"BLOCK_SIZE: 2048, num_warps: 2, num_ctas: 1, num_stages: 3, maxnreg: None",0.0005644630000460893,0.0005968643001779128,5.374103328349458,0.03582735552232972,69.7944
vector_add,10485760,"BLOCK_SIZE: 2048, num_warps: 4, num_ctas: 1, num_stages: 3, maxnreg: None",0.0005631895000988152,0.0005821894000519023,4.611129599739989,0.030740863998266595,67.58740000000002
vector_add,10485760,"BLOCK_SIZE: 2048, num_warps: 8, num_ctas: 1, num_stages: 3, maxnreg: None",0.0005607410000720847,0.0005962620500440608,5.43482471699095,0.036232164779939666,65.42716666666668
vector_add,10485760,"BLOCK_SIZE: 2048, num_warps: 16, num_ctas: 1, num_stages: 3, maxnreg: None",0.0005508289998488181,0.0005739455498314783,4.023691548167653,0.026824610321117687,48.885
vector_add,20971520,"BLOCK_SIZE: 256, num_warps: 2, num_ctas: 1, num_stages: 3, maxnreg: None",0.001073867000059181,0.00110811804986497,8.925858225441754,0.05950572150294502,58.16154545454546
vector_add,20971520,"BLOCK_SIZE: 256, num_warps: 4, num_ctas: 1, num_stages: 3, maxnreg: None",0.0010374375001447333,0.0010568206000016289,9.399809196240092,0.06266539464160062,63.7008
vector_add,20971520,"BLOCK_SIZE: 256, num_warps: 8, num_ctas: 1, num_stages: 3, maxnreg: None",0.0010255914999106608,0.0010616973001333462,10.848227925214099,0.07232151950142733,69.4752
vector_add,20971520,"BLOCK_SIZE: 256, num_warps: 16, num_ctas: 1, num_stages: 3, maxnreg: None",0.0010319189998426737,0.0010666713499404069,10.6668269695807,0.07111217979720467,72.11363636363637
vector_add,20971520,"BLOCK_SIZE: 512, num_warps: 2, num_ctas: 1, num_stages: 3, maxnreg: None",0.001089137999997547,0.0011109076999446187,11.054537548922521,0.07369691699281682,70.201
vector_add,20971520,"BLOCK_SIZE: 512, num_warps: 4, num_ctas: 1, num_stages: 3, maxnreg: None",0.0010721440000907023,0.0010971051501428518,10.782873964094271,0.07188582642729514,69.6786
vector_add,20971520,"BLOCK_SIZE: 512, num_warps: 8, num_ctas: 1, num_stages: 3, maxnreg: None",0.0010360219998801767,0.0010855754001795504,10.596222462803151,0.07064148308535434,68.55072727272729
vector_add,20971520,"BLOCK_SIZE: 512, num_warps: 16, num_ctas: 1, num_stages: 3, maxnreg: None",0.0010150820000944805,0.0010473683999407512,7.500809745405102,0.050005398302700683,54.556200000000004
vector_add,20971520,"BLOCK_SIZE: 1024, num_warps: 2, num_ctas: 1, num_stages: 3, maxnreg: None",0.0010959530000036466,0.001146786649906062,12.073670654376189,0.08049113769584126,70.7988
vector_add,20971520,"BLOCK_SIZE: 1024, num_warps: 4, num_ctas: 1, num_stages: 3, maxnreg: None",0.0010899334999976418,0.0011174710999739543,10.848052822374559,0.07232035214916373,68.4981111111111
vector_add,20971520,"BLOCK_SIZE: 1024, num_warps: 8, num_ctas: 1, num_stages: 3, maxnreg: None",0.0010715405001064937,0.0010996302498824662,10.549545527170407,0.07033030351446938,68.44127272727273
vector_add,20971520,"BLOCK_SIZE: 1024, num_warps: 16, num_ctas: 1, num_stages: 3, maxnreg: None",0.001032616499969663,0.001076743950011405,10.66253955005433,0.0710835970003622,69.56527272727273
vector_add,20971520,"BLOCK_SIZE: 2048, num_warps: 2, num_ctas: 1, num_stages: 3, maxnreg: None",0.0010953754999718512,0.0011169289000235948,10.927754949819716,0.07285169966546477,71.3041
vector_add,20971520,"BLOCK_SIZE: 2048, num_warps: 4, num_ctas: 1, num_stages: 3, maxnreg: None",0.0010990010000568873,0.0011419024001270372,11.728386097853349,0.07818924065235566,70.40255555555557
vector_add,20971520,"BLOCK_SIZE: 2048, num_warps: 8, num_ctas: 1, num_stages: 3, maxnreg: None",0.0010915499999555323,0.0011274468999090458,11.421296173438186,0.07614197448958791,71.5976
vector_add,20971520,"BLOCK_SIZE: 2048, num_warps: 16, num_ctas: 1, num_stages: 3, maxnreg: None",0.0010668889999578823,0.0010990632500124775,10.896930315918643,0.07264620210612428,69.9819090909091
softmax,"(2048, 2048)","num_warps: 2, num_ctas: 1, num_stages: 3, maxnreg: None",0.00017935999971996353,0.00021832279983300396,1.0547818217926461,0.007031878811950974,36.666
softmax,"(2048, 2048)","num_warps: 4, num_ctas: 1, num_stages: 3, maxnreg: None",0.00017183600016323908,0.00019347904994901905,0.5416110217635578,0.0036107401450903853,38.814
softmax,"(2048, 2048)","num_warps: 8, num_ctas: 1, num_stages: 3, maxnreg: None",0.0001743100001476705,0.00019460875005279375,1.1431731732151844,0.007621154488101229,66.141
softmax,"(2048, 2048)","num_warps: 16, num_ctas: 1, num_stages: 3, maxnreg: None",0.00020031150006616372,0.00024229390021446296,1.6218002929503816,0.010812001953002545,49.169000000000004
softmax,"(2048, 2048)","num_warps: 32, num_ctas: 1, num_stages: 3, maxnreg: None",0.00018322499977330153,0.00022976075017595572,0.5923219104812933,0.003948812736541955,37.751
softmax,"(4096, 4096)","num_warps: 2, num_ctas: 1, num_stages: 3, maxnreg: None",0.0006584120001207339,0.0007475005502101333,7.927801926715565,0.05285201284477044,70.24071428571429
softmax,"(4096, 4096)","num_warps: 4, num_ctas: 1, num_stages: 3, maxnreg: None",0.0006378825000865618,0.0006978409000112147,7.692637308698327,0.051284248724655514,68.89625
softmax,"(4096, 4096)","num_warps: 8, num_ctas: 1, num_stages: 3, maxnreg: None",0.0006300664999798755,0.0006675751498505632,6.975441501252635,0.046502943341684234,58.031000000000006
softmax,"(4096, 4096)","num_warps: 16, num_ctas: 1, num_stages: 3, maxnreg: None",0.0006280289999267552,0.0006719094501249856,6.434784808393592,0.04289856538929061,68.892
softmax,"(4096, 4096)","num_warps: 32, num_ctas: 1, num_stages: 3, maxnreg: None",0.0005938524998327921,0.0006568841499301922,7.191764429335774,0.04794509619557183,61.61357142857143
softmax,"(8192, 8192)","num_warps: 2, num_ctas: 1, num_stages: 3, maxnreg: None",0.002443737500016141,0.007275594650059247,28.976260981063483,0.19317507320708988,64.85686956521742
softmax,"(8192, 8192)","num_warps: 4, num_ctas: 1, num_stages: 3, maxnreg: None",0.0024184355002034863,0.0068860947000075595,29.45340339675347,0.19635602264502314,65.89634782608695
softmax,"(8192, 8192)","num_warps: 8, num_ctas: 1, num_stages: 3, maxnreg: None",0.0024255299999822455,0.006697910199864053,29.809786885180987,0.19873191256787326,66.42847826086957
softmax,"(8192, 8192)","num_warps: 16, num_ctas: 1, num_stages: 3, maxnreg: None",0.0023620389999905456,0.0024583888498455053,25.20841857793971,0.1680561238529314,69.40414285714286
softmax,"(8192, 8192)","num_warps: 32, num_ctas: 1, num_stages: 3, maxnreg: None",0.002319452499932595,0.0023640251499728038,24.03172974951581,0.16021153166343874,69.16190476190476
rmsnorm,"(2048, 2048)","num_warps: 2, num_ctas: 1, num_stages: 3, maxnreg: None",0.000183237999863195,0.00020537094999326655,0.844383233515784,0.005629221556771894,46.759
